       5112,           0, 1
       -490,        1381, 1
       -217,         652, 1
       -169,         425, 1
       -153,         309, 1
       -144,         242, 1
       -139,         191, 1
       -138,         157, 1
       -135,         127, 1
       -130,         105, 1
       -132,          87, 1
       -134,          70, 1
       -130,          54, 1
       -131,          37, 1
       -133,          25, 1
       -132,          13, 1
       -134,           0, 1
       -130,         -11, 1
       -131,         -24, 1
       -131,         -35, 1
       -129,         -53, 1
       -132,         -68, 1
       -131,         -85, 1
       -130,        -103, 1
       -135,        -127, 1
       -134,        -155, 1
       -136,        -191, 1
       -142,        -240, 1
       -152,        -310, 1
       -165,        -427, 1
       -213,        -655, 1
       -480,       -1391, 1
       5241,           0, 1
       -223,       -1430, 1
         43,        -673, 1
         90,        -439, 1
        112,        -319, 1
        114,        -248, 1
        120,        -198, 1
        124,        -161, 1
        124,        -131, 1
        128,        -105, 1
        130,         -88, 1
        130,         -73, 1
        127,         -54, 1
        128,         -42, 1
        127,         -25, 1
        126,         -15, 1
        127,           0, 1
        127,          14, 1
        129,          27, 1
        128,          43, 1
        128,          55, 1
        132,          78, 1
        130,          90, 1
        126,         109, 1
        124,         131, 1
        124,         161, 1
        122,         198, 1
        116,         249, 1
        113,         318, 1
         94,         436, 1
         47,         669, 1
       -216,        1423, 1
      -5241,           0, 1
        483,       -1360, 1
        211,        -640, 1
        162,        -418, 1
        145,        -305, 1
        141,        -236, 1
        134,        -187, 1
        133,        -153, 1
        131,        -124, 1
        132,        -101, 1
        132,         -85, 1
        134,         -66, 1
        128,         -52, 1
        130,         -35, 1
        129,         -28, 1
        125,         -11, 1
        127,           0, 1
        129,          12, 1
        129,          28, 1
        130,          38, 1
        129,          53, 1
        133,          70, 1
        132,          85, 1
        133,         103, 1
        131,         124, 1
        132,         153, 1
        136,         189, 1
        142,         234, 1
        146,         304, 1
        168,         417, 1
        213,         638, 1
        489,        1353, 1
      -5112,           0, 1
        196,        1451, 1
        -56,         684, 1
       -101,         441, 1
       -113,         325, 1
       -121,         252, 1
       -125,         198, 1
       -129,         165, 1
       -127,         135, 1
       -128,         109, 1
       -128,          90, 1
       -131,          75, 1
       -130,          54, 1
       -129,          44, 1
       -132,          31, 1
       -131,          15, 1
       -134,           0, 1
       -130,         -11, 1
       -132,         -28, 1
       -129,         -39, 1
       -129,         -53, 1
       -129,         -72, 1
       -129,         -88, 1
       -127,        -109, 1
       -127,        -135, 1
       -126,        -165, 1
       -124,        -198, 1
       -119,        -249, 1
       -112,        -326, 1
        -97,        -448, 1
        -54,        -689, 1
        203,       -1459, 1
       5112,           0, 1
       -490,        1381, 1
       -217,         652, 1
       -169,         425, 1
       -153,         309, 1
       -144,         242, 1
       -139,         191, 1
       -138,         157, 1
       -135,         127, 1
       -130,         105, 1
       -132,          87, 1
       -134,          70, 1
       -130,          54, 1
       -131,          37, 1
       -133,          25, 1
       -132,          13, 1
       -134,           0, 1
       -130,         -11, 1
       -131,         -24, 1
       -131,         -35, 1
       -129,         -53, 1
       -132,         -68, 1
       -131,         -85, 1
       -130,        -103, 1
       -135,        -127, 1
       -134,        -155, 1
       -136,        -191, 1
       -142,        -240, 1
       -152,        -310, 1
       -165,        -427, 1
       -213,        -655, 1
       -480,       -1391, 1
       5241,           0, 1
       -223,       -1430, 1
         43,        -673, 1
         90,        -439, 1
        112,        -319, 1
        114,        -248, 1
        120,        -198, 1
        124,        -161, 1
        124,        -131, 1
        128,        -105, 1
        130,         -88, 1
        130,         -73, 1
        127,         -54, 1
        128,         -42, 1
        127,         -25, 1
        126,         -15, 1
        127,           0, 1
        127,          14, 1
        129,          27, 1
        128,          43, 1
        128,          55, 1
        132,          78, 1
        130,          90, 1
        126,         109, 1
        124,         131, 1
        124,         161, 1
        122,         198, 1
        116,         249, 1
        113,         318, 1
         94,         436, 1
         47,         669, 1
       -216,        1423, 1
      -5241,           0, 1
        483,       -1360, 1
        211,        -640, 1
        162,        -418, 1
        145,        -305, 1
        141,        -236, 1
        134,        -187, 1
        133,        -153, 1
        131,        -124, 1
        132,        -101, 1
        132,         -85, 1
        134,         -66, 1
        128,         -52, 1
        130,         -35, 1
        129,         -28, 1
        125,         -11, 1
        127,           0, 1
        129,          12, 1
        129,          28, 1
        130,          38, 1
        129,          53, 1
        133,          70, 1
        132,          85, 1
        133,         103, 1
        131,         124, 1
        132,         153, 1
        136,         189, 1
        142,         234, 1
        146,         304, 1
        168,         417, 1
        213,         638, 1
        489,        1353, 1
      -5112,           0, 1
        196,        1451, 1
        -56,         684, 1
       -101,         441, 1
       -113,         325, 1
       -121,         252, 1
       -125,         198, 1
       -129,         165, 1
       -127,         135, 1
       -128,         109, 1
       -128,          90, 1
       -131,          75, 1
       -130,          54, 1
       -129,          44, 1
       -132,          31, 1
       -131,          15, 1
       -134,           0, 1
       -130,         -11, 1
       -132,         -28, 1
       -129,         -39, 1
       -129,         -53, 1
       -129,         -72, 1
       -129,         -88, 1
       -127,        -109, 1
       -127,        -135, 1
       -126,        -165, 1
       -124,        -198, 1
       -119,        -249, 1
       -112,        -326, 1
        -97,        -448, 1
        -54,        -689, 1
        203,       -1459, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
          0,           0, 1
